schedule_id,block_id,duty_id,driver_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
435,,1,1,,,,1,duty_start,Início de jornada,driver,05:15,05:15,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,,,2,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:15,05:41,26,1,1,5437;5441,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,1,1,1,,1,1,3,normal_break,Intervalo normal,driver,05:41,06:00,19,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,,,4,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:00,06:27,27,1,1,5451;5457,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,1,1,1,,1,1,5,normal_break,Intervalo normal,driver,06:27,06:42,15,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,,,6,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:42,07:09,27,1,1,5470;5475,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,,1,1,,,,7,duty_end,Fim de jornada,driver,07:09,07:09,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,2,2,,,,1,duty_start,Início de jornada,driver,04:20,04:20,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,2,2,,,,2,pullout,Soltura,driver,04:20,04:30,10,1,1,,0,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:30,05:31,61,1,1,5431;5439,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,2,2,2,,2,2,4,normal_break,Intervalo normal,driver,05:31,05:49,18,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,,,5,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:49,06:08,19,1,1,5448;5449,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,2,2,2,,2,2,6,normal_break,Intervalo normal,driver,06:08,06:26,18,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,,,7,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:26,06:53,27,1,1,5463;5468,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,2,2,2,,2,2,8,normal_break,Intervalo normal,driver,06:53,07:10,17,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,07:10,07:39,29,1,1,5482;5487,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
435,2,2,2,,2,8,10,driver_vehicle_change,Troca de veículo,driver,07:39,07:39,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,2,,2,8,11,normal_break,Intervalo normal,driver,07:39,07:55,16,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
