schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
435,,1,,,1,duty_start,Início de jornada,05:15,05:15,0,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,1,1,,1,2,commercial_trip,Viagem,05:15,05:41,26,1,1,5437;5441,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,1,1,,1,3,normal_break,Intervalo normal,05:41,06:00,19,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
435,1,1,,1,4,commercial_trip,Viagem,06:00,06:27,27,1,1,5451;5457,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,1,1,,1,5,normal_break,Intervalo normal,06:27,06:42,15,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
435,1,1,,1,6,commercial_trip,Viagem,06:42,07:09,27,1,1,5470;5475,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,,1,,,7,duty_end,Fim de jornada,07:09,07:09,0,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,,2,,,1,duty_start,Início de jornada,04:20,04:20,0,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,,2,,,2,pullout,Soltura,04:20,04:30,10,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
435,2,2,,2,3,commercial_trip,Viagem,04:30,05:31,61,1,1,5431;5439,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,4,normal_break,Intervalo normal,05:31,05:49,18,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,5,commercial_trip,Viagem,05:49,06:08,19,1,1,5448;5449,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,6,normal_break,Intervalo normal,06:08,06:26,18,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,7,commercial_trip,Viagem,06:26,06:53,27,1,1,5463;5468,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,8,normal_break,Intervalo normal,06:53,07:10,17,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,9,commercial_trip,Viagem,07:10,07:39,29,1,1,5482;5487,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
435,2,2,,2,10,normal_break,Intervalo normal,07:39,07:55,16,1,1,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
